Filename,Seller Name,Seller Tax ID,Client Name,Client Tax ID,Invoice Number,Invoice Date,Net Worth,VAT,Gross Worth
batch1-0331.jpg,Ochoa-Scott,921-82-1053,Green LLC,965-99-1263,94138597,02/05/2018,"1612,50","161,25","1773,75"
batch1-0332.jpg,Chavez Ltd,904-77-6503,Roberts Ltd,956-94-0439,13507183,09/09/2015,"1026,72","102,67","1129,39"
batch1-0333.jpg,"and Ellis Solomon, Ford",954-73-2478,Hamilton-Jackson,988-96-5706,74819543,10/07/2020,"125,00","12,50","137,50"
batch1-0334.jpg,Duncan Ltd,964-84-8594,Edwards-Archer,909-91-4017,65498230,02/16/2021,"45,50","4,55","50,05"
batch1-0335.jpg,Johnson-Brooks,964-92-2746,"Proctor, Morgan and Williams",939-82-6262,51467723,04/21/2019,"96817,20","9681,72","106498,92"
batch1-0336.jpg,Decker PLC,957-87-4031,Ltd Boyle,993-86-3706,97511742,04/07/2016,"4314,93","431,49","4746,42"
batch1-0337.jpg,"Snyder, Bryan and Booth",983-70-0913,Ashley-Perry,981-88-6259,94098997,10/04/2020,"13846,77","1384,68","15231,45"
batch1-0338.jpg,Bailey PLC,918-95-6591,Turner Inc,998-92-7755,11926242,03/01/2012,"3340,47","334,05","3674,52"
batch1-0339.jpg,Rodriguez-Barnett,986-88-3758,"Rios Le, Lawson and",967-80-5679,48531206,08/03/2019,"5587,91","558,79","6146,70"
batch1-0340.jpg,Daniel-Morrison,995-99-6193,"Snyder, Benton and Reed",999-86-4010,82977013,12/06/2013,"244,99","24,50","269,49"
batch1-0341.jpg,Collins Group,942-76-9532,Pope LLC,918-70-1520,86225018,12/18/2015,"5409,72","540,97","5950,69"
batch1-0342.jpg,Love Inc,960-75-3286,Brown and Sons,992-88-6386,79064100,05/25/2018,"84,44","8,44","92,88"
batch1-0343.jpg,Williams Group,930-72-1637,Frazier-Davis,952-75-5780,69057610,08/20/2013,"15936,26","1593,63","17529,89"
batch1-0344.jpg,Saunders-Lee,991-83-4896,Molina Inc,936-85-0485,85473134,04/24/2017,"808,87","80,89","889,76"
batch1-0345.jpg,Jones and Sons,952-76-3987,Hamilton-Simmons,992-84-7640,92919413,10/04/2020,"5992,66","599,27","6591,93"
batch1-0346.jpg,"Harris Moran, and Smith",907-77-8712,Hughes-Raymond,934-84-4841,49380136,02/21/2019,"173,29","17,33","190,62"
batch1-0347.jpg,"and Henderson, Brown Carson",975-87-2875,"Dodson Brown, and Weaver",981-79-3397,89042780,10/16/2015,"1908,56","190,86","2099,42"
batch1-0348.jpg,Miller Inc,938-92-9047,Conley-[rwin,997-98-1436,50956755,09/06/2019,"29049,84","2904,98","31954,82"
batch1-0349.jpg,"Hernandez, Barber and Jones",934-99-4537,Hall-Skinner,944-87-7634,39571754,07/03/2013,"6950,20","695,02","7645,22"
batch1-0350.jpg,Daniel-Benson,991-85-2472,"Mcdonald, Jordan and Malone",925-92-0610,39077025,12/15/2011,"3546,94","354,69","3901,63"
batch1-0351.jpg,Poole-Boyle,938-78-7124,"Ray, Hurst and Cruz",924-90-5219,77015917,12/21/2017,"99,95","9,99","109,94"
batch1-0352.jpg,Fernandez LLC,984-86-2338,Brown-Carr,906-94-4177,50554106,12/17/2012,"17148,75","1714,88","18863,63"
batch1-0353.jpg,and Callahan Sons,979-84-7639,King-Harris,988-88-5388,10819011,02/09/2018,"510,64","51,06","561,70"
batch1-0354.jpg,Garcia Ltd,996-99-0521,"Anderson, Davidson and Webster",977-75-8747,49929761,02/04/2021,"3459,66","345,97","3805,63"
batch1-0355.jpg,"Deleon and Logan, Ayers",977-99-2004,Moyer-Jones,907-98-7260,92179921,10/11/2012,"241,92","24,19","266,11"
batch1-0356.jpg,Peterson LLC,909-90-0060,"Williams, and Yang Jackson",926-74-8186,23385207,06/23/2012,"240,00","24,00","264,00"
batch1-0357.jpg,Houston-Brooks,925-75-9384,"and Moore, Hill Ford",968-92-5785,19507687,09/19/2018,"55626,97","5562,70","61189,67"
batch1-0358.jpg,"and Martinez Gardner, Tucker",935-91-0274,Robbins Group,968-87-5481,61660848,05/30/2019,"24,12","2,41","26,53"
batch1-0359.jpg,"and Cook, Bartlett Giles",974-75-0354,"and Smith, Herrera Graves",943-83-6136,29534383,05/30/2017,"329,34","32,93","362,27"
batch1-0360.jpg,Mclean Inc,913-81-7541,Richards and Sons,952-95-0332,58126171,08/14/2015,"30884,30","3088,43","33972,73"
batch1-0361.jpg,Johnson-Young,937-77-5283,"Garcia, Meyer and Cook",907-73-8031,86575728,11/24/2014,"906,70","90,67","997,37"
batch1-0362.jpg,Smith-Torres,927-81-6187,"Medina, Martin Moss and",915-85-0288,76628307,05/05/2019,"3084,91","308,49","3393,40"
batch1-0363.jpg,Nichols-Powell,956-84-2083,Ballard-Henry,923-84-5244,16499996,05/05/2019,"19,50","1,95","21,45"
batch1-0364.jpg,Thomas-Andrade,972-90-5571,"Bentley Macdonald, and Nguyen",988-84-2670,61113263,02/04/2014,"23935,84","2393,58","26329,42"
batch1-0365.jpg,Lee Inc,952-96-9876,Olsen Ltd,932-73-0621,41887329,11/26/2020,"17349,93","1734,99","19084,92"
